Institution name,Title,Volume title,Volume,Issue,First page,Article number,Month,Year,url,additional information
University of Southampton,High capacity mode-division multiplexed optical transmission in a novel 37-cell hollow-core photonic bandgap fiber,Journal of Lightwave Technology,32,4,854,,July,2014.0,https://results2021.ref.ac.uk/outputs/05215aba-af08-4103-b9cb-75e587cebb03,"Published as an enhanced follow-up work of a prestigious postdeadline paper at the Optical Communications Conference (OFC) in 2013. It reports a step change (>50x more than prior art) in the data transmission capacity of hollow core optical fibres. In demonstrating that these fibres can transmit information capacities comparable to conventional fibres, it sets the GUINNESS WORLD RECORD on “the world’s highest data transmission rate of 73.7Tb/s over hollow core optical fibre” (June 2014). This was used as the main input to a successful £6.1m EPSRC Programme Grant (Airguide Photonics, EP/P030181/1) that focuses on further developing this data-transmission technology."
Bangor University / Prifysgol Bangor,High-Q inverted silica microtoroid resonators monolithically integrated into a silicon photonics platform,Optics Express,26,21,27418,,October,2018.0,https://results2021.ref.ac.uk/outputs/97ecf885-c1a2-432e-bc13-e05057bfd411,"International collaboration between Bangor University and RWTH Aachen(Germany). First author (Richter) was a PhD student co-supervised by Dr Maziar Nezhad and Prof. Jeremy Witzens. The intricate nanofabrication processes developed here resulted in one of very few instances worldwide for achieving integration of high-Q melted silica microtoroids with silicon waveguides in a standard silicon-on-insulator platform and laid the groundwork for Maziar Nezhad's successful EPSRC Fellowship grant (EP/S001425/1, Optically Actuated Microrobots £630K) and also contributed to Witzens' successful BMBF grant ( EFFICIENTlight, 3M euros)."
The University of Kent,High-Throughput Photonic Time-Stretch Optical Coherence Tomography with Data Compression,IEEE Photonics Journal,9,4,,3901015,June,2017.0,https://results2021.ref.ac.uk/outputs/0a62ac6d-d081-45b7-bc78-8532ff853fd5,This paper demonstrates for the first time the viability of photonic compressive sensing for data compression in ultrafast optical coherence tomography. Massive image data was compressed in the optical domain without the need for sophisticated electronic circuits and digital processors. The paper was selected as one of the top papers at the 2016 IEEE Photonics Conference. The paper attracted interest internationally. A Royal Society International Exchange Project (with McGill University) has been awarded based on research in this paper and aims to explore more compact implementation of the system on photonic integrated circuits.
University of Southampton,Hot-wire chemical vapor deposition low-loss hydrogenated amorphous silicon waveguides for silicon photonic devices,Photonics Research,7,2,193,331501,January,2019.0,https://results2021.ref.ac.uk/outputs/faa95ea3-22fb-4e77-9156-9bc82806e96c,"Amorphous silicon deposition is sensitive to temperature and plasma effect that could make it lossy and unsuitable for silicon photonic applications. This work shows that non-plasma thermal controlled fabrication of low loss device quality amorphous silicon can be achieved for the first time using hot-wire chemical vapour deposition (HWCVD) method. The new method will enable new research activities in multi-layer photonic integrated circuits within a platform grant EP/N013247/1. The paper to an invited talk at IEEE International Conference on Photonics, Malaysia, 2018 (http://icp2018.photonicssociety.org.my/index.php/programme/) and SPIE Photonics West, San Francisco, 2020 (spie.org/conferences-and-exhibitions/photonics-west)."
University of Southampton,Hybrid photonic crystal light-emitting diode renders 123% color conversion effective quantum yield,Optica,3,5,503,,May,2016.0,https://results2021.ref.ac.uk/outputs/7a89f590-de77-4522-a67e-0a1a99562099,"This work enables creation of super-efficient coloured LEDs using a single semiconductor material (GaN) rendering it suitable for micro-LED/display manufacture. It validates claims of granted international patents (US20120112165A1, EP2396818A2, CN102396065B). The research led to industrially funded projects: iCase award (BAE systems -Stephen Fenner), 10k exploratory consultancy project (BAE systems) and £400k subproject within the EPSRC National Hub in High Value Photonic Manufacturing (PhotonstarLED). It led to 5 invited talks: NanoWorld Conference Paris (2019), LS16 conference Sheffield (2018 ), workshop on displays and LEDs, NCTU Taiwan (2018), JWC2018 workshop JAIST Japan, EMP17 conference Shenzhen China (2017)."
University of Exeter,Ideal Weyl points and helicoid surface states in artificial photonic crystal structures,Science,359,6379,1013,,January,2018.0,https://results2021.ref.ac.uk/outputs/c70e5173-c1ff-4f12-9b9b-887e1f929f58,-
The University of Birmingham,Ideal Weyl points and helicoid surface states in artificial photonic crystal structures,Science,359,6379,1013,,March,2018.0,https://results2021.ref.ac.uk/outputs/c6de2207-f3b8-423a-b499-c1a9037b3d26,-
University of Southampton,Impact of structural distortions on the performance of hollow-core photonic bandgap fibers,Optics Express,22,3,2735,,January,2014.0,https://results2021.ref.ac.uk/outputs/6949a31b-b168-44b0-bb6d-fdead63f52d3,"This work shows that contrary to the prevailing common wisdom, breaking the perfect symmetry of the cladding of hollow-core photonic bandgap fibres results in significant loss reduction. The work resulted in a best paper award at the Asian Communications and Photonics conference, two other invited talks at major conferences on specialty optical fibers and has been widely cited by leading groups in the field (https://doi.org/10.1364/OE.27.011608 , https://doi.org/10.1364/OFC.2019.M3C.6). It directly resulted in granted patents (US2016209586A1, US2016236964A1) and a further patent application (GB2565117A) which have since been licensed to university spin-out company Lumenisity (https://lumenisity.com/) who have commercialized the technology."
Cardiff University / Prifysgol Caerdydd,Independent indistinguishable quantum light sources on a reconfigurable photonic integrated circuit,Applied Physics Letters,112,21,,211104,May,2018.0,https://results2021.ref.ac.uk/outputs/e14f7bb9-8e2e-4b6b-b56d-0f18fa866082,"Collaboration with Toshiba Research, patented in three jurisdictions under JP2018072812 (Japan), GB2555398 (UK) US2018114877 (USA). (https://worldwide.espacenet.com/publicationDetails/biblio?II=0&ND=3&adjacent=true&locale=en_EP&FT=D&date=20180502&CC=GB&NR=2555398A&KC=A#). Takes a significant step to scaling quantum dot technology to large photon numbers within integrated devices.  "
University of Oxford,Integrated all-photonic non-volatile multi-level memory,Nature Photonics,9,11,725,,September,2015.0,https://results2021.ref.ac.uk/outputs/a3dd78ff-e146-4819-a863-93d5cd2b6b57,"Demonstration of world's first non-volatile photonic memory with write and rewrite integrated on a photonic platform using phase change materials. Co-lead investigator on this paper and work done primarily at Oxford. This work has inspired grants worth USD5,000,000 (MURI Agarwal Uni. Penn.) in the US, and EUR5,000,000 (FunComp) and companies working in this area: Microsoft, IBM etc. (Optics for the Cloud, Microsoft Research, and Distinguised research Staff Member and Manager, IBM available to corroborate). Profiled widely from Technology Review to Wired and BBC, resulted in 4 patent applications and is ranked 1st amongst articles in Nature Photonics in 2015."
University of Exeter,Integrated all-photonic non-volatile multi-level memory,Nature Photonics,9,11,725,,September,2015.0,https://results2021.ref.ac.uk/outputs/75d1e60d-00c0-4266-82b8-f56149a719bc,"Breakthrough in development of photonic network-on-a-chip devices, namely the first truly non-volatile integrated photonic multi-bit-memory. Described by Nature Photonic as ""one of the great victories of microphotonic technology ever accomplished"". Generated extensive media coverage including features by Science/AAAs website, EE Times, The Engineer, Phys.org., The Economic Times. Result of collaboration with universities of Muenster and Oxford and helped secure €4 million H2020 project Fun-COMP led by Wright. Resulted in numerous invited international conference presentations, e.g. MRS Spring Meeting 2015, OECC Niigata 2016, and invited industry presentations, e.g. ARM workshop Cambridge 2016, Huawei workshop Stockholm 2018. Resulting related 2018 patent PCT/GB2018/051815"
University of Bristol,Integrated silicon photonics for high-speed quantum key distribution,Optica,4,2,172,,January,2017.0,https://results2021.ref.ac.uk/outputs/6f775a30-7a62-43b9-b2e3-779024c4f2d2,-
The University of Manchester,"Intelligent Carpet System, Based on Photonic Guided-Path Tomography, for Gait and Balance Monitoring in Home Environments",IEEE Sensors Journal,15,1,279,6861424,September,2015.0,https://results2021.ref.ac.uk/outputs/ce59b731-bc10-4b58-8300-7bc09ba3fde8,"The methodolgy underpinned a full physical demonstrator exhibit at EU forums (EU Summit on Innovation for Active & Healthy Ageing, Brussels, 2015 and EU Falls Festival, Stuttgart 2015). Under EPSRC IAA and BBSRC (NE/P007945/1) projects , the technology has been applied in animal farming (AB Agri, https://www.abagri.com/). This work also enabled the collection of a database used in work on machine learning for human gait analysis (doi: 10.1109/JSEN.2019.2928777; doi: 10.1109/TPAMI.2018.2799847; doi: 10.1109/TIE.2017.2716907 and others)."
University of Strathclyde,Inverse-designed diamond photonics,Nature Communications,10,1,,3309,July,2019.0,https://results2021.ref.ac.uk/outputs/ef6f9ebb-702a-4ae6-b050-9931484c6900,-
"University of Nottingham, The",Investigating the use of a hybrid plasmonic-photonic nanoresonator for optical trapping using finite-difference time-domain method,Optical and Quantum Electronics,48,5,,275,April,2016.0,https://results2021.ref.ac.uk/outputs/4da41e39-de53-42bc-9bac-3d3eb180a8e4,"This work designed the first high-Q (>10,000) hybrid resonators (photonic crystal + plasmonic) capable of low-power nanoscale trapping of molecules/viruses/nanoparticles targeting research applications in virology, cancer and intercellular communications. This work was awarded prizes at conferences in the fields of both waveguide theory (Optical Waveguide Theory and Numerical Modelling 2015) and nano-/biophotonics (Nano-Spectroscopy & Bio-Imaging, 2015). It also led to an invited book chapter (""Engineering of Hybrid Photonic-Plasmonic Devices for Enhanced Light-Matter Interactions,"" Recent Trends in Computational Photonics, Springer)."
London Metropolitan University,Isolation enhancement of densely packed array antennas with periodic MTM‐photonic bandgap for SAR and MIMO systems,"IET Microwaves, Antennas & Propagation",14,3,183-188,,,2019.0,https://results2021.ref.ac.uk/outputs/1778463b-12d9-4d9d-9466-8391b1efabf4,-
University of Bristol,Large-scale silicon quantum photonics implementing arbitrary two-qubit processing,Nature Photonics,12,9,534,,August,2018.0,https://results2021.ref.ac.uk/outputs/4a689e8a-ec84-4759-9df6-2d97cba2d372,-
The University of Surrey,Local self-uniformity in photonic networks,Nature Communications,8,1,,14439,,2017.0,https://results2021.ref.ac.uk/outputs/143cf046-b48c-45f7-a377-9a01ba1a04fb,-
University of Southampton,Low-loss and low-bend-sensitivity mid-infrared guidance in a hollow-core–photonic-bandgap fiber,Optics Letters,39,2,295,,January,2014.0,https://results2021.ref.ac.uk/outputs/059411ce-83bb-4ad4-b0f1-87d43f473e0d,"This work reports a substantial improvement on the previous state-of-the-art and is still world-leading to date. This led to an industrial contract with AWE (£84k) and was part of a large body of work which secured a £6.1 million EPSRC grant, EP/P030181/1, on hollow core fibres. Furthermore, this paper was essential in securing a Royal Society University Research Fellowship (Wheeler; ~£500k) which supports independent career development over a 5-year period. The paper was highlighted as a standout article from all the OSA journals in a Spotlight on Optics in 2014, and led to three invited talks at international conferences."
University of Southampton,Material and optical properties of low-temperature NH3-free PECVD SiNx layers for photonic applications,Journal of Physics D: Applied Physics,50,2,1,025106,December,2016.0,https://results2021.ref.ac.uk/outputs/7b5754bc-3760-401a-bbd3-90937b926486,"The demonstration of this underpinning material work has been initiated on the EPSRC first grant HERMES-EP/K02423X/1 and led to project H2020-COSMICC(nb:688516-€4M) where SiN was a key integration component. This work led to further industrial funding (Rockley-Photonics/EPSRC-Industry Prosperity Partnership- EP/R003076/1(~£4.7M)) focusing on temperature-insensitive components for the data-centre and optical interconnects markets, EPSRC(Junipers-EP/T007303/1) for non-linear photonics, the programme grant QUDOS-EP/T028475/1 for compound semiconductor integration and the EU project Plasmoniac-No:871391, including industrial partners such as IBM, Lumiphase and IMEC, for plasmonic/neuromorphic. It also resulted in a patent filing (GB-No:1910749.9) and over 5 invited talks at international conferences ACP-OSA(China), PEIRS(Italy), SPIE-Photonics West(USA), EOS(Netherlands), IEEE-IPC(USA)."
Royal Holloway and Bedford New College,Microwave Photonic Downconversion With Improved Conversion Efficiency and SFDR,IEEE Access,6,,8089,,January,2018.0,https://results2021.ref.ac.uk/outputs/92c6a8b9-360a-4303-b1f5-80814e262731,"This article reports a radio over fibre microwave frequency downconversion system with high dynamic range.  This system represents a significant contribution on high-frequency RF links where high frequencies RF signals are downconverted to low frequencies where low power electronics process the signal easily, resolve the intensity adequately, and overcome major shortcomings and bandwidth restrictions of conventional electronic downconverters. This system has been developed analytically and experimentally verified.  As a result of this work, funding was received from industry, Leonardo MW (Project: R11052), and it led to novelties where two patents have been fully funded by Leonardo MW (GB2580792 & GB2582199)."
University College London,Microwave Photonic Integrated Circuits for Millimeter-Wave Wireless Communications,JOURNAL OF LIGHTWAVE TECHNOLOGY,32,20,3495,,October,2014.0,https://results2021.ref.ac.uk/outputs/575fec94-74e2-4ca1-b851-4352d5dd7091,
University of Southampton,Modal content in hypocycloid Kagomé hollow core photonic crystal fibers,Optics Express,24,14,15798,,July,2016.0,https://results2021.ref.ac.uk/outputs/3b60d57f-0bb6-4e60-a3dc-e2f976952783,"A timely and authoritative study on modal properties of Kagome fibres, which are emerging as the most promising fibre delivery solution for ultra-short pulse lasers. This study paves the way to a more effective use of these fibres for industrial applications (micro-machining/drilling, precision cutting/dicing, microscopy, nonlinear spectroscopy, etc.). Presented at CLEO 2016 (leading international Laser conference), the work has already attracted 3 citations in less than 1 year, has been instrumental to the award of research contracts worth over £70k from Industry and Innovate UK and to the success of the ORC’s Programme Grant bid on Hollow Core Fibre Technology."
University of Glasgow,Mode control in photonic crystal surface emitting lasers through external reflection,IEEE Journal of Selected Topics in Quantum Electronics,23,6,,4900208,November,2017.0,https://results2021.ref.ac.uk/outputs/22d960c5-128d-4b9f-866e-8a08aa4f3d71,"The output describes the effect of external, in-plane feedback in photonic crystal surface emitting lasers, resulting from an underpinning patent (EP3183785) which has been licenced to, and forms the foundations for communications and LiDAR product lines for Vector Photonics Ltd. An InnovateUK project (""LOCAL""Ref:80398)) and EPSRC IAA funded secondment with Vector Photonics resulted. Hogg was subsequently appointed as a Visiting Researcher at NIMS Japan in order to initiate new research in this area together with a Carnegie Trust Research Incentive Grant (RIG009824)."
University College London,Monolithically Integrated Optical Phase Lock Loop for Microwave Photonics,JOURNAL OF LIGHTWAVE TECHNOLOGY,32,20,3893,,October,2014.0,https://results2021.ref.ac.uk/outputs/0e9d53bf-3df6-41c6-8720-22f62fe433ff,"Demonstrated and analysed an optical phase lock loop (OPLL) in which the optical elements are monolithically integrated on a single photonic integrated circuit (PIC). Demonstrated a key component of a phase-locked photonic heterodyne source for ultra-high spectral purity THz generation. Placed the UCL EEE Photonics Group in a world-leading position in the field of photonic integration, as recognised by international groups working in the area (e.g. UCSB, USA, DOI:10.1109/JLT.2017.2758744). The PIC expertise developed has subsequently been exploited and extended by the group in other projects (e.g. OPLLs and optical combs in the £6.5 million EPSRC HyperTerahertz Programme Grant, EP/P021859/1)."
University of Southampton,"Multi-kilometer long, longitudinally uniform Hollow Core Photonic Bandgap Fibers for broadband low latency data transmission",Journal of Lightwave Technology,34,1,104,,September,2015.0,https://results2021.ref.ac.uk/outputs/8029a8d1-7924-4f59-80e3-be72411ac137,"This paper represents the first demonstration of the fabrication of a low loss hollow core fibre with a length in excess of 10km - a critical step towards real-world applications of this enabling new fibre technology. Presented originally at the highly competitive Post-deadline session at OFC2015 (the world’s premier Optical Fibre Telecoms Conference), and widely publicised as a breakthrough in professional magazines including Photonics Spectra and Optics&Photonics News. This work was fundamental in securing >£20M total industrial/VC investment for ORC spin-off company Lumenisity Ltd. (https://lumenisity.com/). Lumenisity are now successfully supplying hollow core cables to the telecommunications industry."
University of Southampton,Multipurpose silicon photonics signal processor core,Nature Communications,8,,,636,September,2017.0,https://results2021.ref.ac.uk/outputs/6b5d3bb8-dfa7-4e68-96fa-e257fd7ae8e9,"In the frame of the CORNERSTONE project (EP/L021129/1), researchers from universities of Valencia and Southampton have developed the first photonic integrated chip that enables configuration of more than 100 photonic circuits, of which 30 have been demonstrated in the paper, the highest number reported to date. The results were covered in 10 news articles (e.g. PIC-Magazine, FibreSystems, SPIE) and resulted in 5 invited journal papers (e.g. Nature Photonics https://www.nature.com/articles/s41566-018-0310-5) and 6 invited conference talks. This work led to Capmany getting an ERC Advanced Grant (2017-2022, £2.5m) and to iPRONICS, one of 44 companies highlighted in the Nature Spinoff Prize 2020."
University of Cambridge,Multi-Stage 8 × 8 Silicon Photonic Switch Based on Dual-Microring Switching Elements,Journal of Lightwave Technology,38,2,194,,October,2019.0,https://results2021.ref.ac.uk/outputs/435ee1d3-9b4c-4336-bab6-edb6bfe9f09b,This paper was an invited submission to the journal following a an earlier conference paper (paper W1E.6) at the 2019 Optical Fiber Communication Conference.
Aberystwyth University / Prifysgol Aberystwyth,Nanoassembly of Polydisperse Photonic Crystals Based on Binary and Ternary Polymer Opal Alloys,Advanced Optical Materials,4,10,1494,,July,2016.0,https://results2021.ref.ac.uk/outputs/1074b27a-9ef7-41b2-a161-897c33b4a9f0,-
University of Ulster,Nanophotonic-Carbohydrate Lab-on-a-Microneedle for Rapid Detection of Human Cystatin C in Finger-Prick Blood,ACS Nano,14,9,11939,acsnano.0c05074,August,2020.0,https://results2021.ref.ac.uk/outputs/16f14b42-0cd4-49d6-8a4b-22ec8b9b0123,"Biomarker detection using whole blood was achieved via microneedles. These microneedles use LSPR sensing technology to detect the biomarker while demonstrating the concept of Filtration Extraction and Analysis (FEA) in a single device for the first time. Detection of cystatin C biomarker was successfully achieved within 30 seconds at clinically relevant concentrations related to Heart Failure. The work represents for the first time a hallmark in the state-of-art of miniaturised total analysis systems, for the rapid detection of disease biomarkers, with features including high sensitivity, selectivity, biocompatibility and disposability, all at low cost and is underpinning NIH-USA-2017-2561-1 Award"
University of Glasgow,Non-invasive monitoring and control in silicon photonics using CMOS integrated electronics,Optica,1,3,129,,September,2014.0,https://results2021.ref.ac.uk/outputs/276b04f6-0f7e-4561-94f0-7e675a8e3ed8,"The non-invasive monitoring technique presented in the paper allowed the development of integrated chips with unprecedented complexity.  Supported by the FP7-ICT FET-323734 project, the technology was instrumental in the establishment of the silicon photonics capability “Cornerstone” (https://www.cornerstone.sotonfab.co.uk/), a consortium between Southampton and Glasgow Universities supporting more than 50 partners in UK academia and industry in the development of photonic integrated technology. This work also underpinned the award of the Horizon 2020 “Super-Pixel” grant (ID: 829116), initiating a collaboration with Stanford University and the Max Planck Institute."
University of Strathclyde,Non-invasive monitoring and control in silicon photonics using CMOS integrated electronics,Optica Applicata,1,3,129,,August,2014.0,https://results2021.ref.ac.uk/outputs/a11996c2-4547-45ef-ae7a-ae8d12e74f86,-
Heriot-Watt University,Observation of a localized flat-band state in a photonic Lieb lattice,Physical Review Letters,114,24,,245504,June,2015.0,https://results2021.ref.ac.uk/outputs/b5166232-563a-4127-a262-e58293733bca,-
University of Northumbria at Newcastle,Observation of Complete Photonic Bandgap in Low Refractive Index Contrast Inverse Rod-Connected Diamond Structured Chalcogenides,ACS Photonics,6,5,1248,,April,2019.0,https://results2021.ref.ac.uk/outputs/2acc8b94-3f62-4d7f-a234-daed24b3531f,"This first report of successful inverse rod-connected diamond structured chalcogenides, demonstrated the threshold of the lowest refractive index contrast supporting a complete photonic bandgap in technologically relevant wavelength regions, was awarded best talk at the 2nd International Symposium on Doped Amorphous Chalcogenides and Devices, UK, 2018 and an oral presentation at the CLEO, USA, 2019. (https://www.osapublishing.org/abstract.cfm?uri=CLEO_SI-2019-SF3O.7) and  £12,475 were awarded by the ChAMP / WAFT Collaboration Fund  to continue implementation of 3D structured chalcogenide glasses."
University of York,Observation of soliton compression in silicon photonic crystals,Nature Communications,5,,,3160,January,2014.0,https://results2021.ref.ac.uk/outputs/59390a20-f506-4c6b-970b-e2dfb5f4f8e9,-
The University of Sheffield,Optical analogue of Dresselhaus spin–orbit interaction in photonic graphene,Nature Photonics,15,,193,,November,2020.0,https://results2021.ref.ac.uk/outputs/c91e2590-538f-4d06-a5c0-cbe78307fb23,-
University of St Andrews,Optically induced indirect photonic transitions in a slow light photonic crystal waveguide,Physical Review Letters,112,5,,053904,February,2014.0,https://results2021.ref.ac.uk/outputs/9dd68c9c-cd53-4434-adce-ce6feb9b0c0c,-
University of Southampton,Optically reconfigurable metasurfaces and photonic devices based on phase change materials,Nature Photonics,10,,60,,December,2015.0,https://results2021.ref.ac.uk/outputs/3d24a904-f5f8-4355-8783-9177e9347504,"Reconfigurable photonic devices (e.g.r lenses, lithography masks, metamaterial devices) that can be written, erased and rewritten by precision optical writing of greyscale patterns into a phase-change material. A product of collaboration between Southampton ORC and A*STAR in Singapore, this paper was essential for securing a ~£5Million EPSRC programme grant “Metadevices and Metasystems” EP/M009122/1. It resulted in 2 plenary/keynote talks: at “OMN”, Singapore, July 2016 and ICNP, Taipei, Taiwan, March 2016 and 8 invited talks. This “WOS Highly Cited Paper” was among a handful of research papers contributing to the nomination for the Royal Society Fellowship for N.I.Zheludev (elected in 2018)."
University of Cambridge,Orbital-angular-momentum-preserving helical Bloch modes in twisted photonic crystal fiber,Optica,1,3,165,,January,2014.0,https://results2021.ref.ac.uk/outputs/09a0e8a2-a5bc-4701-9371-a90373111c3c,-
University of St Andrews,Photon-generated carrier transfer process from graphene to quantum dots : optical evidences and ultrafast photonics applications,npj 2D Materials and Applications,4,,,27,July,2020.0,https://results2021.ref.ac.uk/outputs/d4635cc0-7f46-4a88-8221-80190fae2c0b,-
University of Southampton,Photonic crystal and quasi-crystals providing simultaneous light coupling and beam splitting within a low refractive-index slab waveguide,Scientific Reports,7,1,,1812,May,2017.0,https://results2021.ref.ac.uk/outputs/0fe376df-548e-427c-91d1-0a5d63399dc5,"This work provides a method to simultaneously couple and multiplex light to an optical slab waveguide, eradicating the need to etch waveguides to route light to other components, proving concepts proposed in internationally granted patents (US6901194B2, US6888994B2, US7116878B2) which are licenced to IQE UK. The research led to a £400k industrially sponsored sub project within the EPSRC National Hub in High Value Photonic Manufacturing grant for directional VCSELS , as well as invited talks at JWC2018 workshop JAIST Japan, and EMP17 conference Shenzhen China (2017)."
Heriot-Watt University,Photonic crystal-driven spectral concentration for upconversion photovoltaics,Advanced Optical Materials,3,4,568,,December,2014.0,https://results2021.ref.ac.uk/outputs/8a695f05-38b1-480a-b66f-25e4a0b0cc30,"This work presents an approach to achieve the broadest absorption spectrum ever proposed for a single-junction silicon solar cell, by combining photonic crystals, quantum dots and an optical upconverter. This work was selected for one of the journal covers (Advanced Optical Materials 3, issue 4, DOI: 10.1002/adom.201570025). It was also highlighted as a press note in Advanced Science News (https://www.advancedsciencenews.com/optical-materials-spectral-management/)."
The University of Lancaster,Photonic crystals for enhanced light extraction from 2D materials,ACS Photonics,3,12,2515,,November,2016.0,https://results2021.ref.ac.uk/outputs/256ce9aa-254a-463f-bb9e-4428d4d407c9,-
The University of Lancaster,Photonic crystal-structures for THz vacuum electron devices,IEEE Transactions on Electron Devices,62,1,178,,November,2014.0,https://results2021.ref.ac.uk/outputs/6c02681d-3956-44ec-87c3-1eb7c24b7912,"First reported application of photonic crystal technology to THz vacuum electron devices (VEDs) to solve some challenging practical issues at these frequencies. This was validated by a following experimental demonstration (https://doi.org/10.1109/LED.2016.2587903). This work started intensive research on the application of photonic crystals to THz VEDs which led to an invited seminar by Rosa Letizia in University of California, Davis, (https://www.ece.ucdavis.edu/dmrc/category/events/ ). This work contributed to the projects: EPSRC EP/L026597/1 (£245k) and Horizon2020 TWEETHER (https://tweether.eu/ , £3M)."
Swansea University / Prifysgol Abertawe,Photonic flash-annealing of lead halide perovskite solar cells in 1 ms,J. Mater. Chem. A,4,9,3471,,March,2016.0,https://results2021.ref.ac.uk/outputs/03b80681-1320-44cc-86ca-521691c5ad08,-
Aston University,Photonic gas sensors exploiting directly the optical properties of hybrid carbon nanotube localized surface plasmon structures,Light,5,2,,e16036,October,2015.0,https://results2021.ref.ac.uk/outputs/4daa033f-3289-42e3-b772-84b7c4209eb6,"For the first time, the sensing capabilities of carbon nanotubes are exploited by monitoring their optical (rather than electrical) properties in this paper. It led directly to the award of the Royal Academy of Engineering/Leverhulme Trust Senior Research Fellowship for Rohzin (LTSRF1617/13/57, £46,800, 2017) and Marie Curie Fellowship (Grant#:795356, €195,000, 2018) for follow-up work on photonic gas sensors. The paper has generated 2 invited talks at OSA Advanced Photonic Congress (USA 2017) and at the International Conference on Advanced Laser Technologies ALT’19 (Czech 2019). The results of the paper were also the basis for a successful patent application (WO2014118519A1)."
University College London,Photonic generation for multichannel THz wireless communication,OPTICS EXPRESS,22,19,23465,,September,2014.0,https://results2021.ref.ac.uk/outputs/577454f0-b26c-4ac3-a42d-7cae11be07f2,"International co-author (Van Dijk: Alcatel-Thales III-V Lab, France). Demonstrated multi-Gbps wireless transmission at sub-THz frequencies using multiple sub-carriers, establishing the UCL EEE Photonics Group as a leading group working on THz communications worldwide, resulting in international collaborations (Dublin City University, Ireland, DOI:10.1109/JPHOT.2015.2438437) and invited talks (e.g. CHIST-ERA call launch keynote, June 2015; convened session, EUCAP 2017). The leading position of the group in this area and the THz communications test-bed developed led directly to the award of the £1.4 million COALESCE project (EPSRC EP/P003990/1), a collaboration between UCL (co-ordinator) and Oxford, Cambridge and Southampton Universities investigating optical access technologies."
Bangor University / Prifysgol Bangor,Photonic hook: a new curved light beam,Optics Letters,43,4,771,,February,2018.0,https://results2021.ref.ac.uk/outputs/f8d7dd1b-77a8-4b6a-b449-5fadac2d4260,"This paper demonstrates a new type of curved light beam called “photonic hook” which is the only other instance of curved light discovered to date apart from Airy beam. It contributed to the Welsh Government programme - Sêr Cymru National Research Network (NRNF66) and led to the award of the Royal Society UK-Russia cost-share project (IEC\R2\202040). This work received much public attention. A top optics journal - Nature Photonics reported it in their News & Views, and a number of scientific websites, including Laser Focus World, Photonics.com, MIT Technology Review, etc., posted the corresponding articles about it."
"Imperial College of Science, Technology and Medicine",Photonic Maxwell's demon,Physical Review Letters,116,5,,ARTN 050401,February,2016.0,https://results2021.ref.ac.uk/outputs/3fb6c3fd-69ed-4af5-a216-fccf9f0f6d25,-
University of Oxford,Photonic Maxwell's Demon.,Physical review letters,116,5,050401,ARTN 050401,February,2016.0,https://results2021.ref.ac.uk/outputs/41e7a703-cf9c-4c0d-9dca-f883966bc8d3,-
Royal Holloway and Bedford New College,Photonic Mixer Incorporating All-Optical Microwave Frequency Generator based on Stimulated Brillouin Scattering using Single Laser Source,IEEE Access,8,,37045,2,February,2020.0,https://results2021.ref.ac.uk/outputs/f3adcc1d-8ca2-461d-9da6-9a850436b32d,"This article reports theoretical and experimental development of a unique, low cost, low complexity and robust optical Brillouin oscillator based microwave photonic down conversion generating high-frequency, high-spectral-purity microwave signals. For the first time, the reported optical Brillouin photonic mixer system is simultaneously designed to generate RF sources and to down-convert the incoming microwave signals. This work has been funded by industry Leonardo MW (RES-15287) and it deploys Stimulated Brillouin Scattering technique from our industry fully funded patent which has been granted recently (01/09/2020) (Granted Patent Number: GB2567646)."
University of Bristol,Photonic multilayer structure of Begonia chloroplasts enhances photosynthetic efficiency,Nature Plants,2,,,16162,October,2016.0,https://results2021.ref.ac.uk/outputs/9097bfe4-6866-453a-9a87-5d1d4c6bcd75,-
Heriot-Watt University,Photonic quantum state transfer between a cold atomic gas and a crystal,Nature,551,7681,485,,November,2017.0,https://results2021.ref.ac.uk/outputs/97d9ffa6-8103-4fdc-b7d0-41231f9d698e,-
University of Cambridge,"Photonic Sorting of Aligned, Crystalline Carbon Nanotube Textiles",Scientific Reports,7,1,12977,12977,October,2017.0,https://results2021.ref.ac.uk/outputs/f0665154-698b-4e3c-a11b-fccac983b029,"Developed novel method to purify and improve thermal, electrical and mechanical properties of carbon nanotube fibres by laser treatment. Now in filed patent (PCT/EP2018/051100) covering the selection of fibres with high electrical conductivity from a bundle with mixed properties, and protected by European Patent WO2018134245 (A1), currently being licensed by Cambridge Enterprise (Team Lead contact details available) to Q-Flo Ltd and Tortech Nano Fibers (Team Lead contact details available). Resulted in funding from Innovate UK (GBP934,207) with lead organization Tortech UK (contact details available) and received average score of 84% from reviewers."
